"pais_codigo","pais_nombre","provincia_codigo","provincia_nombre","ciudad_codigo","ciudad_nombre"
"AR","Argentina","06","Buenos Aires","06105080","Villa Lynch Pueyrredón"
"AR","Argentina","06","Buenos Aires","06147010","Bellocq"
"AR","Argentina","06","Buenos Aires","06147050","Hortensia"
"AR","Argentina","06","Buenos Aires","06196010","Coronel Pringles"
"AR","Argentina","06","Buenos Aires","06196020","El Divisorio"
"AR","Argentina","06","Buenos Aires","06203010","Cascada"
"AR","Argentina","06","Buenos Aires","06203030","Curamalal"
"AR","Argentina","06","Buenos Aires","06203040","D'Orbigny"
"AR","Argentina","06","Buenos Aires","06203060","Pasman"
"AR","Argentina","06","Buenos Aires","06203080","Santa María"
"AR","Argentina","06","Buenos Aires","06231010","Andant"
"AR","Argentina","06","Buenos Aires","06231020","Arboledas"
"AR","Argentina","06","Buenos Aires","06231040","La Larga"
"AR","Argentina","06","Buenos Aires","06231060","Salazar"
"AR","Argentina","06","Buenos Aires","06287010","General Alvear"
"AR","Argentina","06","Buenos Aires","06399020","Casbas"
"AR","Argentina","06","Buenos Aires","06322010","General La Madrid"
"AR","Argentina","06","Buenos Aires","06399030","Garré"
"AR","Argentina","06","Buenos Aires","06399050","Laguna Alsina"
"AR","Argentina","06","Buenos Aires","06406010","Henderson"
"AR","Argentina","06","Buenos Aires","06406020","Herrera Vegas"
"AR","Argentina","06","Buenos Aires","06595080","Recalde"
"AR","Argentina","06","Buenos Aires","06595040","Colonia San Miguel"
"AR","Argentina","06","Buenos Aires","06595060","Hinojo"
"AR","Argentina","06","Buenos Aires","06595110","Sierras Bayas"
"AR","Argentina","06","Buenos Aires","06595120","Villa Alfredo Fortabat"
"AR","Argentina","06","Buenos Aires","06609010","Capitán Castro"
"AR","Argentina","06","Buenos Aires","06609030","Francisco Madero"
"AR","Argentina","06","Buenos Aires","06609040","Juan José Paso"
"AR","Argentina","06","Buenos Aires","06609070","Nueva Plata"
"AR","Argentina","06","Buenos Aires","06609080","Pehuajó"
"AR","Argentina","06","Buenos Aires","06651040","17 de Agosto"
"AR","Argentina","06","Buenos Aires","06651100","Villa Castelar"
"AR","Argentina","06","Buenos Aires","06700010","Arroyo Corto"
"AR","Argentina","06","Buenos Aires","06700050","Goyena"
"AR","Argentina","06","Buenos Aires","06700055","Las Encadenadas"
"AR","Argentina","06","Buenos Aires","06700060","Pigüé"
"AR","Argentina","06","Buenos Aires","06798010","Crotto"
"AR","Argentina","06","Buenos Aires","06798020","Tapalqué"
"AR","Argentina","06","Buenos Aires","06819030","Sierra de la Ventana"
"AR","Argentina","06","Buenos Aires","06819050","Tres Picos"
"AR","Argentina","06","Buenos Aires","06819060","La Gruta"
"AR","Argentina","06","Buenos Aires","06826010","Berutti"
"AR","Argentina","06","Buenos Aires","06826020","Girodias"
"AR","Argentina","06","Buenos Aires","06826030","La Carreta"
"AR","Argentina","06","Buenos Aires","06826040","30 de Agosto"
"AR","Argentina","06","Buenos Aires","06833090","San Mayol"
"AR","Argentina","06","Buenos Aires","06847010","Ingeniero Thompson"
"AR","Argentina","06","Buenos Aires","06134020","Barrio El Taladro"
"AR","Argentina","06","Buenos Aires","06134030","Cañuelas"
"AR","Argentina","06","Buenos Aires","06134060","Santa Rosa"
"AR","Argentina","06","Buenos Aires","06134070","Uribelarrea"
"AR","Argentina","06","Buenos Aires","06301020","Gorchs"
"AR","Argentina","06","Buenos Aires","06329020","General Las Heras"
"AR","Argentina","06","Buenos Aires","06329060","Villars"
"AR","Argentina","06","Buenos Aires","06483040","Lobos"
"AR","Argentina","06","Buenos Aires","06483050","Salvador María"
"AR","Argentina","06","Buenos Aires","06525010","Barrio Santa Rosa"
"AR","Argentina","06","Buenos Aires","06525020","Marcos Paz"
"AR","Argentina","06","Buenos Aires","06547010","Abbott"
"AR","Argentina","06","Buenos Aires","06547020","San Miguel del Monte"
"AR","Argentina","06","Buenos Aires","06547030","Zenón Videla Dorna"
"AR","Argentina","06","Buenos Aires","06574030","Navarro"
"AR","Argentina","06","Buenos Aires","06693010","Carlos Beguerie"
"AR","Argentina","06","Buenos Aires","06049020","Azul"
"AR","Argentina","06","Buenos Aires","06049030","Cacharí"
"AR","Argentina","06","Buenos Aires","06063010","Balcarce"
"AR","Argentina","06","Buenos Aires","06063020","Los Pinos"
"AR","Argentina","06","Buenos Aires","06063050","San Agustín"
"AR","Argentina","06","Buenos Aires","06084030","López"
"AR","Argentina","06","Buenos Aires","06084040","Tedín Uriburu"
"AR","Argentina","06","Buenos Aires","06084050","Villa Cacique"
"AR","Argentina","06","Buenos Aires","06168020","Centro Guerrero"
"AR","Argentina","06","Buenos Aires","06168030","Cerro de la Gloria"
"AR","Argentina","06","Buenos Aires","06238010","Dolores"
"AR","Argentina","06","Buenos Aires","06238020","Sevigne"
"AR","Argentina","06","Buenos Aires","06280010","Comandante Nicanor Otamendi"
"AR","Argentina","06","Buenos Aires","06280030","Mechongué"
"AR","Argentina","06","Buenos Aires","06308010","General Guido"
"AR","Argentina","06","Buenos Aires","06308020","Labardén"
"AR","Argentina","06","Buenos Aires","06336030","Pavón"
"AR","Argentina","06","Buenos Aires","06357090","El Marquesado"
"AR","Argentina","06","Buenos Aires","06357120","Sierra de los Padres"
"AR","Argentina","06","Buenos Aires","06455010","Coronel Boerr"
"AR","Argentina","06","Buenos Aires","06455020","El Trigo"
"AR","Argentina","06","Buenos Aires","06455030","Las Flores"
"AR","Argentina","06","Buenos Aires","06455040","Pardo"
"AR","Argentina","06","Buenos Aires","06476020","Licenciado Matienzo"
"AR","Argentina","06","Buenos Aires","06476050","San Manuel"
"AR","Argentina","06","Buenos Aires","06511010","Las Armas"
"AR","Argentina","06","Buenos Aires","06518020","General Pirán"
"AR","Argentina","06","Buenos Aires","06518050","Mar de Cobo"
"AR","Argentina","06","Buenos Aires","06518070","Vivoratá"
"AR","Argentina","06","Buenos Aires","06581010","Claraz"
"AR","Argentina","06","Buenos Aires","06581030","Juan N. Fernández"
"AR","Argentina","06","Buenos Aires","06581050","Nicanor Olivera"
"AR","Argentina","06","Buenos Aires","06630020","Pila"
"AR","Argentina","06","Buenos Aires","06644010","Pinamar"
"AR","Argentina","06","Buenos Aires","06672010","Rauch"
"AR","Argentina","06","Buenos Aires","06791010","De la Canal"
"AR","Argentina","06","Buenos Aires","06791050","Tandil"
"AR","Argentina","06","Buenos Aires","06798030","Velloso"
"AR","Argentina","06","Buenos Aires","06812010","General Conesa"
"AR","Argentina","06","Buenos Aires","06868020","Villa Gesell"
"AR","Argentina","14","Córdoba","14042020","Arroyo Cabral"
"AR","Argentina","14","Córdoba","14042040","Chazón"
"AR","Argentina","14","Córdoba","14042050","Etruria"
"AR","Argentina","14","Córdoba","14042060","La Laguna"
"AR","Argentina","14","Córdoba","14042070","La Palestina"
"AR","Argentina","14","Córdoba","14042090","Las Mojarras"
"AR","Argentina","14","Córdoba","14042100","Luca"
"AR","Argentina","14","Córdoba","14042110","Pasco"
"AR","Argentina","14","Córdoba","14042120","Sanabria"
"AR","Argentina","14","Córdoba","14042140","Ticino"
"AR","Argentina","14","Córdoba","14042150","Tío Pujio"
"AR","Argentina","14","Córdoba","14042170","Villa María"
"AR","Argentina","14","Córdoba","14042180","Villa Nueva"
"AR","Argentina","14","Córdoba","14042190","Villa Oeste"
"AR","Argentina","14","Córdoba","14056030","Bengolea"
"AR","Argentina","14","Córdoba","14056050","Charras"
"AR","Argentina","14","Córdoba","14056060","El Rastreador"
"AR","Argentina","14","Córdoba","14056070","General Cabrera"
"AR","Argentina","14","Córdoba","14056080","General Deheza"
"AR","Argentina","14","Córdoba","14056090","Huanchillas"
"AR","Argentina","14","Córdoba","14056100","La Carlota"
"AR","Argentina","14","Córdoba","14056110","Los Cisnes"
"AR","Argentina","14","Córdoba","14056130","Pacheco de Melo"
"AR","Argentina","14","Córdoba","14056140","Paso del Durazno"
"AR","Argentina","14","Córdoba","14056150","Santa Eufemia"
"AR","Argentina","14","Córdoba","14056160","Ucacha"
"AR","Argentina","14","Córdoba","14056170","Villa Reducción"
"AR","Argentina","14","Córdoba","14098080","Chucul"
"AR","Argentina","14","Córdoba","14098150","Las Acequias"
"AR","Argentina","14","Córdoba","14098180","Las Peñas"
"AR","Argentina","14","Córdoba","14161040","Dalmacio Vélez"
"AR","Argentina","14","Córdoba","14161050","General Fotheringham"
"AR","Argentina","14","Córdoba","14161060","Hernando"
"AR","Argentina","14","Córdoba","14161070","James Craik"
"AR","Argentina","14","Córdoba","14161080","Las Isletillas"
"AR","Argentina","14","Córdoba","14161090","Las Perdices"
"AR","Argentina","14","Córdoba","14161120","Pampayasta Norte"
"AR","Argentina","14","Córdoba","14161130","Pampayasta Sud"
